"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Sup. Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2017","01","1000 100","02021000","Frozen bovine carcasses and half carcasses","United Arab Emirates","","","50985.8","50705.35","4002168.69","169639.48635566","0.0","0.0"
"2017","01","1000 100","07020000","Tomatoes fresh or chilled","Djibouti","","","944100.0","781938.0","3912188.57","165825.508854621","0.0","0.0"
"2017","01","1071 100","06031900","--Other cut flowers","United States","","","26570.0","23397.2","3897719.02","165212.189621994","0.0","0.0"
"2017","01","1071 100","06031900","--Other cut flowers","Japan","","","46264.0","40711.72","3791427.04","160706.803095938","0.0","0.0"
"2017","01","1071 100","20089900","--Other fruit, etc, prepared or preserved, nes","United Arab Emirates","","","6124.98","3122.96","3687668.27","156308.791464976","0.0","0.0"
"2017","01","1000 101","30023000","-Vaccines for veterinary medicine","Chad","6000000.0","LTR","4846.0","4834.0","3682318.93","156082.049575707","0.0","0.0"
"2017","01","1000 505","61099000","-T-SHIRTS, SINGLETS, ETC, OF OTHER TEXTILES, NES, KNITTED OR CROCHETED","United States","139812.0","UN","41926.9","38466.4","3590519.15","152190.942345351","0.0","0.0"
"2017","01","1071 100","01022910","---OX","Djibouti","253.0","UN","84160.0","84160.0","3574406.7","151507.985690186","0.0","0.0"
"2017","01","3052 505","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","India","","","13694.0","13216.0","3504044.55","148525.552936988","0.0","0.0"
"2017","01","1000 100","34049000","-other","Germany","","","16411.5","16340.0","3491375.31","147988.543247344","0.0","0.0"
"2017","01","1000 100","15219020","---Bee Wax","Japan","","","18046.0","18000.0","3477827.7","147414.30218462","0.0","0.0"
"2017","01","3052 505","62046300","WOMEN'S OR GIRLS' TROUSERS, BREECHES, ETC, OF SYNTHETIC FIBRES.","Germany","9092.0","UN","3087.56","2761.01","3460606.33","146684.34185875","0.0","0.0"
"2017","01","1071 100","08039000","-OTHER","Somalia","","","629185.0","629185.0","3425330.73","145189.118861319","0.0","0.0"
"2017","01","3052 505","61034900","--MEN'S OR BOYS' TROUSERS, ETC, OF OTHER TEXTILES, KNITTED OR CROCHETED","United States","48700.0","UN","11711.45","10325.15","3376261.94","143109.245428574","0.0","0.0"
"2017","01","1000 100","02069000","Frozen edible offal of sheep, goats, horses...","Viet Nam","","","55507.0","53595.0","3375076.59","143059.002127822","0.0","0.0"
"2017","01","1000 100","15219020","---Bee Wax","United States","","","17600.0","17500.0","3365007.62","142632.209798154","0.0","0.0"
"2017","01","1000 100","07132000","Dried chickpeas, shelled","Sudan","","","216031.0","215600.0","3297750.56","139781.392155034","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Yemen","","","36480.0","36000.0","3292395.52","139554.408660489","0.0","0.0"
"2017","01","1071 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Yemen","","","200400.0","200000.0","3222147.56","136576.816066327","0.0","0.0"
"2017","01","1000 505","41131000","LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..","Hong Kong","","","7921.0","7508.0","3202922.1","135761.908596909","0.0","0.0"
"2017","01","1000 100","02011000","Fresh or chilled bovine carcasses and half carcasses","Bahrain","","","41714.0","40766.5","3179954.25","134788.372852044","0.0","0.0"
"2017","01","1000 100","26140000","Titanium ores and concentrates","China","","","3074.6","3000.0","3176480.33","134641.124185112","0.0","0.0"
"2017","01","1000 100","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","Hong Kong","","","4490.5","4357.9","3150187.56","133526.655420012","0.0","0.0"
"2017","01","1000 100","12079990","--OTHER","Germany","","","151728.0","151400.0","3140540.83","133117.760531023","0.0","0.0"
"2017","01","3052 505","62034200","--MEN'S OR BOYS' TROUSERS, BREECHES, ETC, OF COTTON","United States","28604.0","UN","14550.1","11079.1","3096694.53","131259.252210476","0.0","0.0"
"2017","01","3052 505","85171200","-- Telephone for cellular networks or for other wireless networks","Nigeria","14220.0","UN","2576.65","2362.25","3079155.78","130515.839133273","0.0","0.0"
"2017","01","1000 100","61091000","-T-SHIRTS, SINGLETS AND OTHER VESTS, OF COTTON, KNITTED OR CROCHETED","Germany","93800.0","UN","10941.6","9755.8","3073168.79","130262.069243224","0.0","0.0"
"2017","01","1000 101","30023000","-Vaccines for veterinary medicine","Angola","6500000.0","LTR","7250.0","7242.0","3054674.53","129478.155068201","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Russian Federation","","","19456.0","19200.0","3044166.48","129032.751502615","0.0","0.0"
"2017","01","1000 100","64029900","--Other","Hong Kong","9057.0","2UN","6000.0","3233.0","3016902.18","127877.102601707","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","South Africa","","","19440.0","19200.0","2982698.46","126427.313264554","0.0","0.0"
"2017","01","3052 505","41131000","LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..","Hong Kong","","","6116.0","5884.0","2967346.5","125776.591415807","0.0","0.0"
